Concurso,Faixa,Ganhadores,Prêmio
1304,12 Acertos,208067,"R$ 8,00"
1304,11 Acertos,1032067,"R$ 4,00"
1303,15 Acertos,3,"R$ 426.530,54"
1303,14 Acertos,334,"R$ 1.684,00"
1303,13 Acertos,11666,"R$ 20,00"
1303,12 Acertos,150905,"R$ 8,00"
1303,11 Acertos,831540,"R$ 4,00"
1302,15 Acertos,2,"R$ 604.196,01"
1302,14 Acertos,127,"R$ 2.927,66"
1302,13 Acertos,5639,"R$ 20,00"
1302,12 Acertos,80419,"R$ 8,00"
1302,11 Acertos,501657,"R$ 4,00"
1301,15 Acertos,1,"R$ 2.116.913,81"
1301,14 Acertos,282,"R$ 2.309,78"
1301,13 Acertos,13355,"R$ 20,00"
1301,12 Acertos,165552,"R$ 8,00"
1301,11 Acertos,892009,"R$ 4,00"
1300,15 Acertos,2,"R$ 877.972,18"
1300,14 Acertos,335,"R$ 1.612,81"
1300,13 Acertos,13345,"R$ 20,00"
1300,12 Acertos,188431,"R$ 8,00"
1300,11 Acertos,1025521,"R$ 4,00"
1299,15 Acertos,2,"R$ 461.287,61"
1299,14 Acertos,736,"R$ 550,98"
1299,13 Acertos,35627,"R$ 20,00"
1299,12 Acertos,277123,"R$ 8,00"
1299,11 Acertos,1211505,"R$ 4,00"
1298,15 Acertos,2,"R$ 1.002.996,03"
1298,14 Acertos,355,"R$ 1.738,67"
1298,13 Acertos,13576,"R$ 20,00"
1298,12 Acertos,168410,"R$ 8,00"
1298,11 Acertos,938535,"R$ 4,00"
1297,15 Acertos,4,"R$ 559.760,88"
1297,14 Acertos,302,"R$ 2.281,25"
1297,13 Acertos,9936,"R$ 20,00"
1297,12 Acertos,145129,"R$ 8,00"
1297,11 Acertos,863204,"R$ 4,00"
1295,15 Acertos,2,"R$ 932.778,76"
1295,14 Acertos,362,"R$ 1.585,69"
1295,13 Acertos,13635,"R$ 20,00"
1295,12 Acertos,171675,"R$ 8,00"
1295,11 Acertos,1048874,"R$ 4,00"
1296,15 Acertos,1,"R$ 1.638.944,19"
1296,14 Acertos,415,"R$ 1.735,93"
1296,13 Acertos,16444,"R$ 20,00"
1296,12 Acertos,226130,"R$ 8,00"
1296,11 Acertos,1115664,"R$ 4,00"
1294,15 Acertos,2,"R$ 785.901,18"
1294,14 Acertos,499,"R$ 1.384,57"
1294,13 Acertos,20787,"R$ 20,00"
1294,12 Acertos,233089,"R$ 8,00"
1294,11 Acertos,1109506,"R$ 4,00"
1293,15 Acertos,5,"R$ 295.302,17"
1293,14 Acertos,835,"R$ 777,26"
1293,13 Acertos,24797,"R$ 20,00"
1293,12 Acertos,278959,"R$ 8,00"
1293,11 Acertos,1225827,"R$ 4,00"
1319,15 Acertos,12,"R$ 95.885,50"
1319,14 Acertos,1044,"R$ 484,45"
1319,13 Acertos,25624,"R$ 20,00"
1319,12 Acertos,248998,"R$ 8,00"
1319,11 Acertos,1149055,"R$ 4,00"
1317,15 Acertos,3,"R$ 571.820,42"
1317,14 Acertos,352,"R$ 1.499,53"
1317,13 Acertos,14678,"R$ 20,00"
1317,12 Acertos,189962,"R$ 8,00"
1317,11 Acertos,1003541,"R$ 4,00"
1289,15 Acertos,10,"R$ 125.897,56"
1289,14 Acertos,997,"R$ 555,06"
1289,13 Acertos,25859,"R$ 20,00"
1289,12 Acertos,242801,"R$ 8,00"
1289,11 Acertos,1040478,"R$ 4,00"
1287,15 Acertos,1,"R$ 1.435.915,05"
1287,14 Acertos,334,"R$ 1.889,73"
1287,13 Acertos,11588,"R$ 20,00"
1287,12 Acertos,157399,"R$ 8,00"
1287,11 Acertos,860308,"R$ 4,00"
1286,15 Acertos,3,"R$ 563.141,69"
1286,14 Acertos,409,"R$ 1.815,65"
1286,13 Acertos,16971,"R$ 20,00"
1286,12 Acertos,191442,"R$ 8,00"
1286,11 Acertos,945015,"R$ 4,00"
1288,15 Acertos,1,"R$ 1.791.535,79"
1288,14 Acertos,414,"R$ 1.902,14"
1288,13 Acertos,12290,"R$ 20,00"
1288,12 Acertos,162657,"R$ 8,00"
1288,11 Acertos,963605,"R$ 4,00"
1285,15 Acertos,2,"R$ 961.810,09"
1285,14 Acertos,449,"R$ 1.883,17"
1285,13 Acertos,15313,"R$ 20,00"
1285,12 Acertos,163114,"R$ 8,00"
1285,11 Acertos,886921,"R$ 4,00"
1284,15 Acertos,8,"R$ 194.951,87"
1284,14 Acertos,1162,"R$ 589,96"
1284,13 Acertos,24794,"R$ 20,00"
1284,12 Acertos,233378,"R$ 8,00"
1284,11 Acertos,1040955,"R$ 4,00"
1283,15 Acertos,1,"R$ 2.020.727,99"
1283,14 Acertos,266,"R$ 2.337,45"
1283,13 Acertos,10748,"R$ 20,00"
1283,12 Acertos,172498,"R$ 8,00"
1283,11 Acertos,916702,"R$ 4,00"
1305,15 Acertos,0,"R$ 0,00"
1305,14 Acertos,151,"R$ 1.480,97"
1305,13 Acertos,5886,"R$ 20,00"
1305,12 Acertos,80509,"R$ 8,00"
1305,11 Acertos,468054,"R$ 4,00"
1282,15 Acertos,1,"R$ 1.975.430,80"
1282,14 Acertos,325,"R$ 1.870,23"
1282,13 Acertos,12960,"R$ 20,00"
1282,12 Acertos,156471,"R$ 8,00"
1282,11 Acertos,867838,"R$ 4,00"
1281,15 Acertos,3,"R$ 539.833,86"
1281,14 Acertos,574,"R$ 1.240,18"
1281,13 Acertos,18293,"R$ 20,00"
1281,12 Acertos,211250,"R$ 8,00"
1281,11 Acertos,1095099,"R$ 4,00"
1280,15 Acertos,3,"R$ 282.214,73"
1280,14 Acertos,732,"R$ 508,40"
1280,13 Acertos,22053,"R$ 20,00"
1280,12 Acertos,185161,"R$ 8,00"
1280,11 Acertos,788629,"R$ 4,00"
1279,15 Acertos,2,"R$ 640.594,52"
1279,14 Acertos,602,"R$ 935,48"
1279,13 Acertos,16860,"R$ 20,00"
1279,12 Acertos,166190,"R$ 8,00"
1279,11 Acertos,815035,"R$ 4,00"
1278,15 Acertos,2,"R$ 1.097.709,98"
1278,14 Acertos,235,"R$ 2.874,53"
1278,13 Acertos,10251,"R$ 20,00"
1278,12 Acertos,147529,"R$ 8,00"
1278,11 Acertos,825699,"R$ 4,00"
1277,15 Acertos,3,"R$ 615.929,93"
1277,14 Acertos,436,"R$ 1.862,87"
1277,13 Acertos,14412,"R$ 20,00"
1277,12 Acertos,161841,"R$ 8,00"
1277,11 Acertos,889803,"R$ 4,00"
1276,15 Acertos,6,"R$ 305.237,62"
1276,14 Acertos,700,"R$ 1.150,03"
1276,13 Acertos,17743,"R$ 20,00"
1276,12 Acertos,178183,"R$ 8,00"
1276,11 Acertos,873576,"R$ 4,00"
1275,15 Acertos,3,"R$ 1.239.696,36"
1275,14 Acertos,525,"R$ 1.755,34"
1275,13 Acertos,18024,"R$ 20,00"
1275,12 Acertos,280524,"R$ 8,00"
1275,11 Acertos,1258389,"R$ 4,00"
1274,15 Acertos,0,"R$ 0,00"
1274,14 Acertos,323,"R$ 1.545,66"
1274,13 Acertos,13275,"R$ 20,00"
1274,12 Acertos,185789,"R$ 8,00"
1274,11 Acertos,985133,"R$ 4,00"
1273,15 Acertos,2,"R$ 770.928,17"
1273,14 Acertos,404,"R$ 1.677,57"
1273,13 Acertos,14558,"R$ 20,00"
1273,12 Acertos,182126,"R$ 8,00"
1273,11 Acertos,916304,"R$ 4,00"
1272,15 Acertos,2,"R$ 893.135,20"
1272,14 Acertos,440,"R$ 1.784,48"
1272,13 Acertos,16416,"R$ 20,00"
1272,12 Acertos,190731,"R$ 8,00"
1272,11 Acertos,1001427,"R$ 4,00"
1271,15 Acertos,4,"R$ 303.052,99"
1271,14 Acertos,439,"R$ 1.213,75"
1271,13 Acertos,12582,"R$ 20,00"
1271,12 Acertos,142019,"R$ 8,00"
1271,11 Acertos,728852,"R$ 4,00"
1270,15 Acertos,1,"R$ 936.238,41"
1270,14 Acertos,459,"R$ 896,58"
1270,13 Acertos,18700,"R$ 20,00"
1270,12 Acertos,205601,"R$ 8,00"
1270,11 Acertos,869796,"R$ 4,00"
1268,15 Acertos,7,"R$ 270.747,41"
1268,14 Acertos,621,"R$ 1.341,49"
1268,13 Acertos,24660,"R$ 20,00"
1268,12 Acertos,187595,"R$ 8,00"
1268,11 Acertos,985666,"R$ 4,00"
1269,15 Acertos,1,"R$ 2.122.133,58"
1269,14 Acertos,469,"R$ 1.392,25"
1269,13 Acertos,15880,"R$ 20,00"
1269,12 Acertos,176812,"R$ 8,00"
1269,11 Acertos,969283,"R$ 4,00"
1292,15 Acertos,5,"R$ 1.421.825,26"
1292,14 Acertos,981,"R$ 1.255,22"
1292,13 Acertos,31464,"R$ 20,00"
1292,12 Acertos,350049,"R$ 8,00"
1292,11 Acertos,1780845,"R$ 4,00"
1267,15 Acertos,2,"R$ 877.825,08"
1267,14 Acertos,533,"R$ 1.447,86"
1267,13 Acertos,19030,"R$ 20,00"
1267,12 Acertos,208706,"R$ 8,00"
1267,11 Acertos,1064610,"R$ 4,00"
1290,15 Acertos,0,"R$ 0,00"
1290,14 Acertos,255,"R$ 2.186,98"
1290,13 Acertos,11112,"R$ 20,00"
1290,12 Acertos,147112,"R$ 8,00"
1290,11 Acertos,892183,"R$ 4,00"
1266,15 Acertos,2,"R$ 821.651,87"
1266,14 Acertos,454,"R$ 1.591,03"
1266,13 Acertos,16170,"R$ 20,00"
1266,12 Acertos,238824,"R$ 8,00"
1266,11 Acertos,1116837,"R$ 4,00"
1265,15 Acertos,1,"R$ 1.827.729,94"
1265,14 Acertos,297,"R$ 1.893,53"
1265,13 Acertos,11910,"R$ 20,00"
1265,12 Acertos,184095,"R$ 8,00"
1265,11 Acertos,959356,"R$ 4,00"
1263,15 Acertos,5,"R$ 310.462,61"
1263,14 Acertos,643,"R$ 1.061,17"
1263,13 Acertos,17315,"R$ 20,00"
1263,12 Acertos,194684,"R$ 8,00"
1263,11 Acertos,1073068,"R$ 4,00"
1264,15 Acertos,3,"R$ 672.705,95"
1264,14 Acertos,378,"R$ 1.642,75"
1264,13 Acertos,12578,"R$ 20,00"
1264,12 Acertos,162749,"R$ 8,00"
1264,11 Acertos,924533,"R$ 4,00"
1260,15 Acertos,3,"R$ 742.189,80"
1260,14 Acertos,334,"R$ 2.051,19"
1260,13 Acertos,13269,"R$ 20,00"
1260,12 Acertos,183007,"R$ 8,00"
1260,11 Acertos,1004074,"R$ 4,00"
1262,15 Acertos,2,"R$ 1.056.296,15"
1262,14 Acertos,337,"R$ 1.928,87"
1262,13 Acertos,12770,"R$ 20,00"
1262,12 Acertos,157691,"R$ 8,00"
1262,11 Acertos,842398,"R$ 4,00"
1261,15 Acertos,1,"R$ 2.287.918,58"
1261,14 Acertos,272,"R$ 2.588,14"
1261,13 Acertos,11056,"R$ 20,00"
1261,12 Acertos,151109,"R$ 8,00"
1261,11 Acertos,891056,"R$ 4,00"
1259,15 Acertos,2,"R$ 980.616,91"
1259,14 Acertos,363,"R$ 1.662,41"
1259,13 Acertos,15235,"R$ 20,00"
1259,12 Acertos,201614,"R$ 8,00"
1259,11 Acertos,1088500,"R$ 4,00"
1258,15 Acertos,3,"R$ 626.024,08"
1258,14 Acertos,386,"R$ 1.497,07"
1258,13 Acertos,16797,"R$ 20,00"
1258,12 Acertos,209024,"R$ 8,00"
1258,11 Acertos,1186826,"R$ 4,00"
1257,15 Acertos,4,"R$ 1.000.838,63"
1257,14 Acertos,634,"R$ 1.825,50"
1257,13 Acertos,21929,"R$ 20,00"
1257,12 Acertos,273385,"R$ 8,00"
1257,11 Acertos,1328846,"R$ 4,00"
1256,15 Acertos,0,"R$ 0,00"
1256,14 Acertos,223,"R$ 1.890,78"
1256,13 Acertos,8037,"R$ 20,00"
1256,12 Acertos,105232,"R$ 8,00"
1256,11 Acertos,618173,"R$ 4,00"
1255,15 Acertos,51,"R$ 1.757.073,66"
1255,14 Acertos,9354,"R$ 1.030,82"
1255,13 Acertos,222527,"R$ 20,00"
1255,12 Acertos,2225323,"R$ 8,00"
1255,11 Acertos,10900909,"R$ 4,00"
1254,15 Acertos,3,"R$ 1.382.797,68"
1254,14 Acertos,367,"R$ 2.046,41"
1254,13 Acertos,14308,"R$ 20,00"
1254,12 Acertos,182896,"R$ 8,00"
1254,11 Acertos,1053314,"R$ 4,00"
1253,15 Acertos,0,"R$ 0,00"
1253,14 Acertos,253,"R$ 2.076,67"
1253,13 Acertos,12239,"R$ 20,00"
1253,12 Acertos,164580,"R$ 8,00"
1253,11 Acertos,894846,"R$ 4,00"
1252,15 Acertos,1,"R$ 1.847.950,49"
1252,14 Acertos,375,"R$ 1.516,27"
1252,13 Acertos,11175,"R$ 20,00"
1252,12 Acertos,152089,"R$ 8,00"
1252,11 Acertos,929122,"R$ 4,00"
1251,15 Acertos,1,"R$ 2.219.990,67"
1251,14 Acertos,224,"R$ 3.049,44"
1251,13 Acertos,9577,"R$ 20,00"
1251,12 Acertos,141185,"R$ 8,00"
1251,11 Acertos,837669,"R$ 4,00"
1250,15 Acertos,3,"R$ 493.800,98"
1250,14 Acertos,510,"R$ 1.276,79"
1250,13 Acertos,19444,"R$ 20,00"
1250,12 Acertos,209582,"R$ 8,00"
1250,11 Acertos,1002547,"R$ 4,00"
1249,15 Acertos,2,"R$ 837.088,20"
1249,14 Acertos,472,"R$ 1.559,11"
1249,13 Acertos,16553,"R$ 20,00"
1249,12 Acertos,199064,"R$ 8,00"
1249,11 Acertos,989845,"R$ 4,00"
1248,15 Acertos,1,"R$ 1.590.460,75"
1248,14 Acertos,455,"R$ 1.536,49"
1248,13 Acertos,20424,"R$ 20,00"
1248,12 Acertos,220776,"R$ 8,00"
1248,11 Acertos,1070198,"R$ 4,00"
1247,15 Acertos,1,"R$ 2.046.541,05"
1247,14 Acertos,382,"R$ 1.648,44"
1247,13 Acertos,12027,"R$ 20,00"
1247,12 Acertos,162180,"R$ 8,00"
1247,11 Acertos,984772,"R$ 4,00"
1246,15 Acertos,2,"R$ 2.270.432,38"
1246,14 Acertos,427,"R$ 1.656,76"
1246,13 Acertos,19415,"R$ 20,00"
1246,12 Acertos,242849,"R$ 8,00"
1246,11 Acertos,1302608,"R$ 4,00"
1245,15 Acertos,0,"R$ 0,00"
1245,14 Acertos,294,"R$ 2.346,10"
1245,13 Acertos,11311,"R$ 20,00"
1245,12 Acertos,161088,"R$ 8,00"
1245,11 Acertos,926795,"R$ 4,00"
1244,15 Acertos,37,"R$ 22.561,88"
1244,14 Acertos,5503,"R$ 66,68"
1244,13 Acertos,61942,"R$ 20,00"
1244,12 Acertos,299525,"R$ 8,00"
1244,11 Acertos,1066597,"R$ 4,00"
1243,15 Acertos,2,"R$ 2.217.441,97"
1243,14 Acertos,527,"R$ 1.442,09"
1243,13 Acertos,18709,"R$ 20,00"
1243,12 Acertos,237141,"R$ 8,00"
1243,11 Acertos,1277542,"R$ 4,00"
1242,15 Acertos,0,"R$ 0,00"
1242,14 Acertos,347,"R$ 1.742,36"
1242,13 Acertos,11868,"R$ 20,00"
1242,12 Acertos,156146,"R$ 8,00"
1242,11 Acertos,883027,"R$ 4,00"
1241,15 Acertos,1,"R$ 1.546.030,95"
1241,14 Acertos,432,"R$ 1.573,08"
1241,13 Acertos,18042,"R$ 20,00"
1241,12 Acertos,177847,"R$ 8,00"
1241,11 Acertos,916606,"R$ 4,00"
1240,15 Acertos,3,"R$ 590.817,28"
1240,14 Acertos,348,"R$ 1.567,16"
1240,13 Acertos,12563,"R$ 20,00"
1240,12 Acertos,167553,"R$ 8,00"
1240,11 Acertos,897961,"R$ 4,00"
1238,15 Acertos,2,"R$ 749.682,40"
1238,14 Acertos,464,"R$ 1.420,39"
1238,13 Acertos,15927,"R$ 20,00"
1238,12 Acertos,200742,"R$ 8,00"
1238,11 Acertos,982100,"R$ 4,00"
1291,15 Acertos,0,"R$ 0,00"
1291,14 Acertos,360,"R$ 2.132,72"
1291,13 Acertos,14360,"R$ 20,00"
1291,12 Acertos,208756,"R$ 8,00"
1291,11 Acertos,1175327,"R$ 4,00"
1237,15 Acertos,1,"R$ 1.937.958,14"
1237,14 Acertos,279,"R$ 2.137,26"
1237,13 Acertos,10894,"R$ 20,00"
1237,12 Acertos,158272,"R$ 8,00"
1237,11 Acertos,930832,"R$ 4,00"
1236,15 Acertos,9,"R$ 115.640,66"
1236,14 Acertos,783,"R$ 584,26"
1236,13 Acertos,27094,"R$ 20,00"
1236,12 Acertos,274509,"R$ 8,00"
1236,11 Acertos,1148788,"R$ 4,00"
1235,15 Acertos,1,"R$ 1.592.534,98"
1235,14 Acertos,383,"R$ 1.827,71"
1235,13 Acertos,14044,"R$ 20,00"
1235,12 Acertos,181557,"R$ 8,00"
1235,11 Acertos,955029,"R$ 4,00"
1233,15 Acertos,3,"R$ 668.188,71"
1233,14 Acertos,336,"R$ 1.835,68"
1233,13 Acertos,11052,"R$ 20,00"
1233,12 Acertos,143522,"R$ 8,00"
1233,11 Acertos,849020,"R$ 4,00"
1232,15 Acertos,1,"R$ 1.730.536,94"
1232,14 Acertos,547,"R$ 1.390,63"
1232,13 Acertos,16521,"R$ 20,00"
1232,12 Acertos,192970,"R$ 8,00"
1232,11 Acertos,1001460,"R$ 4,00"
1231,15 Acertos,2,"R$ 876.511,07"
1231,14 Acertos,634,"R$ 1.215,39"
1231,13 Acertos,17632,"R$ 20,00"
1231,12 Acertos,191333,"R$ 8,00"
1231,11 Acertos,982907,"R$ 4,00"
1230,15 Acertos,1,"R$ 1.664.045,97"
1230,14 Acertos,404,"R$ 1.810,51"
1230,13 Acertos,14404,"R$ 20,00"
1230,12 Acertos,185410,"R$ 8,00"
1230,11 Acertos,1012230,"R$ 4,00"
1229,15 Acertos,4,"R$ 430.153,05"
1229,14 Acertos,478,"R$ 1.582,24"
1229,13 Acertos,14740,"R$ 20,00"
1229,12 Acertos,178924,"R$ 8,00"
1229,11 Acertos,940954,"R$ 4,00"
1228,15 Acertos,2,"R$ 766.948,00"
1228,14 Acertos,388,"R$ 1.737,73"
1228,13 Acertos,15319,"R$ 20,00"
1228,12 Acertos,176317,"R$ 8,00"
1228,11 Acertos,943283,"R$ 4,00"
1227,15 Acertos,2,"R$ 875.663,02"
1227,14 Acertos,319,"R$ 1.689,24"
1227,13 Acertos,12279,"R$ 20,00"
1227,12 Acertos,163631,"R$ 8,00"
1227,11 Acertos,893202,"R$ 4,00"
1226,15 Acertos,3,"R$ 423.954,14"
1226,14 Acertos,645,"R$ 866,76"
1226,13 Acertos,17883,"R$ 20,00"
1226,12 Acertos,183335,"R$ 8,00"
1226,11 Acertos,851407,"R$ 4,00"
1225,15 Acertos,2,"R$ 503.805,02"
1225,14 Acertos,693,"R$ 639,11"
1225,13 Acertos,22558,"R$ 20,00"
1225,12 Acertos,235272,"R$ 8,00"
1225,11 Acertos,1141021,"R$ 4,00"
1224,15 Acertos,4,"R$ 524.104,00"
1224,14 Acertos,486,"R$ 1.327,27"
1224,13 Acertos,11599,"R$ 20,00"
1224,12 Acertos,147382,"R$ 8,00"
1224,11 Acertos,845017,"R$ 4,00"
1220,15 Acertos,4,"R$ 1.026.828,47"
1220,14 Acertos,473,"R$ 1.371,62"
1220,13 Acertos,20133,"R$ 20,00"
1220,12 Acertos,266061,"R$ 8,00"
1220,11 Acertos,1364338,"R$ 4,00"
1219,15 Acertos,0,"R$ 0,00"
1219,14 Acertos,238,"R$ 2.584,10"
1219,13 Acertos,12527,"R$ 20,00"
1219,12 Acertos,159601,"R$ 8,00"
1219,11 Acertos,918817,"R$ 4,00"
1218,15 Acertos,1,"R$ 1.052.205,73"
1218,14 Acertos,621,"R$ 744,77"
1218,13 Acertos,24018,"R$ 20,00"
1218,12 Acertos,187786,"R$ 8,00"
1218,11 Acertos,928005,"R$ 4,00"
1239,15 Acertos,2,"R$ 875.384,91"
1239,14 Acertos,395,"R$ 1.363,79"
1239,13 Acertos,15556,"R$ 20,00"
1239,12 Acertos,190547,"R$ 8,00"
1239,11 Acertos,892606,"R$ 4,00"
1216,15 Acertos,1,"R$ 1.791.538,06"
1216,14 Acertos,427,"R$ 1.844,23"
1216,13 Acertos,15077,"R$ 20,00"
1216,12 Acertos,183099,"R$ 8,00"
1216,11 Acertos,976241,"R$ 4,00"
1215,15 Acertos,2,"R$ 925.164,99"
1215,14 Acertos,395,"R$ 1.441,35"
1215,13 Acertos,13594,"R$ 20,00"
1215,12 Acertos,192678,"R$ 8,00"
1215,11 Acertos,932594,"R$ 4,00"
1214,15 Acertos,2,"R$ 775.596,57"
1214,14 Acertos,475,"R$ 1.435,45"
1214,13 Acertos,15762,"R$ 20,00"
1214,12 Acertos,189378,"R$ 8,00"
1214,11 Acertos,989378,"R$ 4,00"
1234,15 Acertos,1,"R$ 2.249.837,46"
1234,14 Acertos,241,"R$ 2.872,44"
1234,13 Acertos,9362,"R$ 20,00"
1234,12 Acertos,126274,"R$ 8,00"
1234,11 Acertos,811077,"R$ 4,00"
1223,15 Acertos,1,"R$ 2.121.040,55"
1223,14 Acertos,247,"R$ 2.642,22"
1223,13 Acertos,10152,"R$ 20,00"
1223,12 Acertos,146636,"R$ 8,00"
1223,11 Acertos,871691,"R$ 4,00"
1222,15 Acertos,5,"R$ 290.026,29"
1222,14 Acertos,523,"R$ 1.218,77"
1222,13 Acertos,18306,"R$ 20,00"
1222,12 Acertos,207989,"R$ 8,00"
1222,11 Acertos,1062637,"R$ 4,00"
1212,15 Acertos,4,"R$ 521.682,66"
1212,14 Acertos,372,"R$ 1.726,00"
1212,13 Acertos,16205,"R$ 15,00"
1212,12 Acertos,165259,"R$ 6,00"
1212,11 Acertos,1050365,"R$ 3,00"
1211,15 Acertos,2,"R$ 832.743,80"
1211,14 Acertos,456,"R$ 1.605,44"
1211,13 Acertos,17973,"R$ 15,00"
1211,12 Acertos,219018,"R$ 6,00"
1211,11 Acertos,1209692,"R$ 3,00"
1221,15 Acertos,2,"R$ 896.752,87"
1221,14 Acertos,565,"R$ 1.395,31"
1221,13 Acertos,17566,"R$ 20,00"
1221,12 Acertos,198564,"R$ 8,00"
1221,11 Acertos,1024426,"R$ 4,00"
1210,15 Acertos,13,"R$ 117.138,10"
1210,14 Acertos,3318,"R$ 201,73"
1210,13 Acertos,28040,"R$ 15,00"
1210,12 Acertos,262558,"R$ 6,00"
1210,11 Acertos,1310830,"R$ 3,00"
1209,15 Acertos,3,"R$ 627.419,15"
1209,14 Acertos,435,"R$ 1.331,40"
1209,13 Acertos,16677,"R$ 15,00"
1209,12 Acertos,224890,"R$ 6,00"
1209,11 Acertos,1262525,"R$ 3,00"
1208,15 Acertos,1,"R$ 1.800.550,78"
1208,14 Acertos,501,"R$ 1.579,74"
1208,13 Acertos,17461,"R$ 15,00"
1208,12 Acertos,224909,"R$ 6,00"
1208,11 Acertos,1247198,"R$ 3,00"
1207,15 Acertos,2,"R$ 817.265,12"
1207,14 Acertos,499,"R$ 1.439,82"
1207,13 Acertos,19145,"R$ 15,00"
1207,12 Acertos,234741,"R$ 6,00"
1207,11 Acertos,1288012,"R$ 3,00"
1206,15 Acertos,7,"R$ 204.215,72"
1206,14 Acertos,706,"R$ 890,02"
1206,13 Acertos,22936,"R$ 15,00"
1206,12 Acertos,294203,"R$ 6,00"
1206,11 Acertos,1452786,"R$ 3,00"
1205,15 Acertos,2,"R$ 893.289,14"
1205,14 Acertos,841,"R$ 933,78"
1205,13 Acertos,22569,"R$ 15,00"
1205,12 Acertos,231468,"R$ 6,00"
1205,11 Acertos,1163523,"R$ 3,00"
1204,15 Acertos,8,"R$ 174.068,07"
1204,14 Acertos,658,"R$ 930,25"
1204,13 Acertos,17103,"R$ 15,00"
1204,12 Acertos,191301,"R$ 6,00"
1204,11 Acertos,1011166,"R$ 3,00"
1203,15 Acertos,4,"R$ 373.757,42"
1203,14 Acertos,351,"R$ 1.310,57"
1203,13 Acertos,23666,"R$ 15,00"
1203,12 Acertos,164273,"R$ 6,00"
1203,11 Acertos,962740,"R$ 3,00"
1202,15 Acertos,5,"R$ 332.119,02"
1202,14 Acertos,430,"R$ 1.697,51"
1202,13 Acertos,17761,"R$ 15,00"
1202,12 Acertos,226483,"R$ 6,00"
1202,11 Acertos,1210941,"R$ 3,00"
1201,15 Acertos,2,"R$ 988.362,39"
1201,14 Acertos,406,"R$ 1.498,09"
1201,13 Acertos,14855,"R$ 15,00"
1201,12 Acertos,200625,"R$ 6,00"
1201,11 Acertos,1107123,"R$ 3,00"
1200,15 Acertos,2,"R$ 967.752,48"
1200,14 Acertos,350,"R$ 1.701,54"
1200,13 Acertos,14640,"R$ 15,00"
1200,12 Acertos,195461,"R$ 6,00"
1200,11 Acertos,1175668,"R$ 3,00"
1199,15 Acertos,2,"R$ 814.375,76"
1199,14 Acertos,521,"R$ 1.374,15"
1199,13 Acertos,11269,"R$ 15,00"
1199,12 Acertos,152319,"R$ 6,00"
1199,11 Acertos,892622,"R$ 3,00"
1217,15 Acertos,1,"R$ 1.984.077,81"
1217,14 Acertos,255,"R$ 2.394,06"
1217,13 Acertos,11493,"R$ 20,00"
1217,12 Acertos,158349,"R$ 8,00"
1217,11 Acertos,951456,"R$ 4,00"
1198,15 Acertos,1,"R$ 1.723.524,11"
1198,14 Acertos,438,"R$ 1.729,66"
1198,13 Acertos,17570,"R$ 15,00"
1198,12 Acertos,227127,"R$ 6,00"
1198,11 Acertos,1151587,"R$ 3,00"
1197,15 Acertos,3,"R$ 691.984,93"
1197,14 Acertos,387,"R$ 1.650,53"
1197,13 Acertos,14561,"R$ 15,00"
1197,12 Acertos,203302,"R$ 6,00"
1197,11 Acertos,1124707,"R$ 3,00"
1196,15 Acertos,3,"R$ 696.392,77"
1196,14 Acertos,354,"R$ 1.815,89"
1196,13 Acertos,15957,"R$ 15,00"
1196,12 Acertos,176143,"R$ 6,00"
1196,11 Acertos,1056763,"R$ 3,00"
1195,15 Acertos,2,"R$ 1.032.629,25"
1195,14 Acertos,348,"R$ 1.826,05"
1195,13 Acertos,14838,"R$ 15,00"
1195,12 Acertos,198939,"R$ 6,00"
1195,11 Acertos,1148531,"R$ 3,00"
1194,15 Acertos,1,"R$ 1.566.231,31"
1194,14 Acertos,522,"R$ 1.318,87"
1194,13 Acertos,21582,"R$ 15,00"
1194,12 Acertos,260475,"R$ 6,00"
1194,11 Acertos,1318828,"R$ 3,00"
1193,15 Acertos,1,"R$ 1.542.823,69"
1193,14 Acertos,616,"R$ 1.100,91"
1193,13 Acertos,21309,"R$ 15,00"
1193,12 Acertos,262626,"R$ 6,00"
1193,11 Acertos,1256782,"R$ 3,00"
1192,15 Acertos,1,"R$ 1.466.301,62"
1192,14 Acertos,321,"R$ 1.405,51"
1192,13 Acertos,12037,"R$ 15,00"
1192,12 Acertos,159639,"R$ 6,00"
1192,11 Acertos,924064,"R$ 3,00"
1213,15 Acertos,6,"R$ 319.755,76"
1213,14 Acertos,296,"R$ 1.994,32"
1213,13 Acertos,14256,"R$ 20,00"
1213,12 Acertos,195972,"R$ 8,00"
1213,11 Acertos,1017995,"R$ 4,00"
1191,15 Acertos,1,"R$ 1.252.095,70"
1191,14 Acertos,411,"R$ 1.339,10"
1191,13 Acertos,15298,"R$ 15,00"
1191,12 Acertos,183368,"R$ 6,00"
1191,11 Acertos,938082,"R$ 3,00"
1189,15 Acertos,6,"R$ 288.381,73"
1189,14 Acertos,479,"R$ 1.587,82"
1189,13 Acertos,17172,"R$ 15,00"
1189,12 Acertos,226268,"R$ 6,00"
1189,11 Acertos,1251233,"R$ 3,00"
1188,15 Acertos,4,"R$ 370.853,61"
1188,14 Acertos,1810,"R$ 360,24"
1188,13 Acertos,37375,"R$ 15,00"
1188,12 Acertos,282671,"R$ 6,00"
1188,11 Acertos,1281067,"R$ 3,00"
1187,15 Acertos,9,"R$ 192.823,52"
