Concurso,Faixa,Ganhadores,Prêmio
2819,11 Acertos,518038,"R$ 6,00"
2888,15 Acertos,18,"R$ 54.116,06"
2888,14 Acertos,1156,"R$ 252,40"
2888,13 Acertos,20440,"R$ 30,00"
2888,12 Acertos,162586,"R$ 12,00"
2888,11 Acertos,652230,"R$ 6,00"
2818,15 Acertos,1,"R$ 1.242.980,59"
2818,14 Acertos,323,"R$ 1.152,69"
2818,13 Acertos,23920,"R$ 30,00"
2818,12 Acertos,109012,"R$ 12,00"
2818,11 Acertos,592649,"R$ 6,00"
2817,15 Acertos,1,"R$ 1.297.704,13"
2817,14 Acertos,310,"R$ 1.253,91"
2817,13 Acertos,10452,"R$ 30,00"
2817,12 Acertos,128111,"R$ 12,00"
2817,11 Acertos,644607,"R$ 6,00"
2816,15 Acertos,3,"R$ 579.006,21"
2816,14 Acertos,219,"R$ 1.663,08"
2816,13 Acertos,8436,"R$ 30,00"
2816,12 Acertos,107627,"R$ 12,00"
2816,11 Acertos,586845,"R$ 6,00"
2815,15 Acertos,1,"R$ 1.491.759,38"
2815,14 Acertos,150,"R$ 2.085,26"
2815,13 Acertos,6934,"R$ 30,00"
2815,12 Acertos,95960,"R$ 12,00"
2815,11 Acertos,548809,"R$ 6,00"
2814,15 Acertos,7,"R$ 171.416,23"
2814,14 Acertos,765,"R$ 469,83"
2814,13 Acertos,12594,"R$ 30,00"
2814,12 Acertos,140808,"R$ 12,00"
2814,11 Acertos,618466,"R$ 6,00"
2813,15 Acertos,1,"R$ 1.366.242,68"
2813,14 Acertos,198,"R$ 2.066,88"
2813,13 Acertos,7919,"R$ 30,00"
2813,12 Acertos,114426,"R$ 12,00"
2813,11 Acertos,569987,"R$ 6,00"
2812,15 Acertos,4,"R$ 378.837,10"
2812,14 Acertos,343,"R$ 1.323,34"
2812,13 Acertos,8152,"R$ 30,00"
2812,12 Acertos,114459,"R$ 12,00"
2812,11 Acertos,593670,"R$ 6,00"
2810,15 Acertos,2,"R$ 2.751.365,56"
2810,14 Acertos,678,"R$ 981,14"
2810,13 Acertos,21952,"R$ 30,00"
2810,12 Acertos,236726,"R$ 12,00"
2810,11 Acertos,1148962,"R$ 6,00"
2811,15 Acertos,2,"R$ 899.457,19"
2811,14 Acertos,167,"R$ 2.258,63"
2811,13 Acertos,6145,"R$ 30,00"
2811,12 Acertos,93862,"R$ 12,00"
2811,11 Acertos,571036,"R$ 6,00"
2809,15 Acertos,1,"R$ 4.006.926,61"
2809,14 Acertos,451,"R$ 1.572,34"
2809,13 Acertos,14716,"R$ 30,00"
2809,12 Acertos,182525,"R$ 12,00"
2809,11 Acertos,939475,"R$ 6,00"
